Account,Total_Trades,Total_PnL,Avg_PnL,Std_PnL,Min_PnL,Max_PnL,Total_Volume,Avg_Trade_Size,Total_Fees,Win_Count,Loss_Count,Net_Total_PnL,Avg_Abs_PnL,Win_Rate,Loss_Rate,Profit_Factor,Avg_Win,Avg_Loss,Risk_Reward_Ratio,ROI,Fee_Percentage,Risk_Level,Profitability_Class
0x083384f897ee0f19899168e3b1bec365f52a9012,3818,1600229.819979,419.1277684596647,4692.452328769463,-117990.1041,135329.0901,61697263.97,16159.57673389209,7405.312304,1373,359,1592824.507675,645.1494793622315,35.961236249345205,9.402828706128863,3.8245125348189415,1479.7562025433358,-1201.8814654958217,1.231199785523675,2.5816777036490683,0.012002659157788259,Very High Risk,High Profit
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,7280,47885.320514,6.5776539167582415,134.07347277629353,-6820.76955,4037.871978,12035487.66,1653.2263269230768,2729.83788853,3223,943,45155.48262547,18.422019323626376,44.27197802197802,12.953296703296704,3.417815482502651,28.234195034129694,-45.71950167656415,0.6175525541347395,0.37518614867218436,0.022681572742603764,Medium Risk,High Profit
0x271b280974205ca63b716753467d5a371de622ab,3809,-70436.191318,-18.49204287687057,542.1826592941622,-25818.75012,1584.342755,33873440.42,8893.000897873459,9280.98285,1150,457,-79717.174168,51.540523795221844,30.191651352060912,11.997899711210291,2.516411378555799,54.73115818173913,-291.85344250984684,0.18752959605707772,-0.2353382862194663,0.0273989967801446,High Risk,Heavy Loser
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,13311,132464.814554,9.951529904139434,113.26935264594304,-7784.162915,4396.862703,6757022.1,507.6269326121253,2218.3673664509,5838,934,130246.4471875491,15.787894316880775,43.85846292540004,7.016753061377807,6.250535331905781,29.343737222165124,-41.58878302890792,0.70556854721545,1.9275717210921823,0.032830547741599075,Medium Risk,High Profit
0x2c229d22b100a7beb69122eed721cee9b24011dd,3239,168658.004994,52.0710111126891,255.82909123366827,-996.7456,6608.942866,10166880.2,3138.894782340228,3108.196722,1684,376,165549.808272,59.53147511083667,51.99135535659154,11.608521148502625,4.4787234042553195,107.3279254388361,-32.13356767287234,3.3400563090740785,1.6283245697337911,0.030571784666057145,High Risk,High Profit
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,815,-31203.599986,-38.28662574969325,558.7787526232372,-5981.36399,6672.970248,1409902.0,1729.9411042944785,147.07476338,371,199,-31350.67474938,163.62583972024538,45.52147239263803,24.41717791411043,1.864321608040201,137.6704304393531,-413.4639682361809,0.33296838664478823,-2.2236066584329977,0.010431559312633077,High Risk,Heavy Loser
0x39cef799f8b69da1995852eea189df24eb5cae3c,3589,14456.919335999997,4.0281190682641395,730.495483644371,-31036.69194,7322.017,17193375.42,4790.5754862078575,1458.65712607,1176,591,12998.262209929999,127.84738558205628,32.76678740596267,16.46698244636389,1.9898477157360406,201.2334975297619,-375.96222294247036,0.5352492491261671,0.07560040941588418,0.008483832234438582,High Risk,High Profit
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,332,53496.247243,161.13327482831323,1279.8557881354639,0.0,20665.89598,1143896.46,3445.471265060241,176.274175917,158,0,53319.973067082996,161.13327482831323,47.59036144578313,0.0,158.0,338.58384331012655,0.0,338.58384331012655,4.661258683070232,0.015409976521563852,Very High Risk,High Profit
0x420ab45e0bd8863569a5efbb9c05d91f40624641,383,199505.592732,520.9023308929503,2228.336140282739,0.0,25997.375,1987527.6099999999,5189.367127937337,267.967088979,90,0,199237.625643021,520.9023308929503,23.49869451697128,0.0,90.0,2216.728808133333,0.0,2216.728808133333,10.0243953664131,0.013482433533539692,Very High Risk,High Profit
0x430f09841d65beb3f27765503d0f850b8bce7713,1237,416541.872341,336.735547567502,1649.4975803457908,0.0,29999.90625,2966109.22,2397.824753435732,747.006931,599,0,415794.86541,336.735547567502,48.42360549717058,0.0,599.0,695.395446312187,0.0,695.395446312187,14.018191326413799,0.025184741207877705,Very High Risk,High Profit
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8519,103343.716161,12.130967972884141,88.29284150392282,-1388.851115,2077.855821,4408828.9,517.5289235825802,1230.8465211819,3011,652,102112.8696398181,21.79590798063153,35.34452400516492,7.6534804554525175,4.618098159509202,47.994529433410825,-63.14081589417178,0.7601189302629991,2.3160996254542354,0.027917765672010996,Medium Risk,High Profit
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,4356,677747.050643,155.58931373806246,855.3540027082513,-6169.375076,16305.57609,39572949.25,9084.699093204776,8025.99239419,2118,115,669721.05824881,161.59608865449954,48.62258953168045,2.6400367309458215,18.417391304347827,326.17082455665724,-113.76309363478262,2.8671057909498674,1.692370851659003,0.020281511856713588,High Risk,High Profit
0x4f93fead39b70a1824f981a54d4e55b278e9f760,7584,308975.869716,40.740489150316456,656.6936282172401,-21524.4,8098.26873,129672529.28,17098.171054852322,40724.467403,2733,216,268251.402313,97.63669599472574,36.03639240506329,2.848101265822785,12.652777777777779,191.99644568971826,-998.8445201574075,0.19221855035002006,0.20686833503013477,0.031405624328545524,High Risk,High Profit
0x513b8629fe877bb581bf244e326a047b249c4ff1,12236,840422.555216,68.68441935403726,639.4024436908079,-29370.1198,19530.5225,420876556.36,34396.58028440667,76424.64289169,4909,573,763997.91232431,96.7071790201046,40.119320039228505,4.682902909447532,8.567190226876091,206.12462800020373,-299.2028684764398,0.6889126065194614,0.18152541422877888,0.018158446161187367,High Risk,High Profit
