date,sentiment_class,sentiment_score,num_trades,total_pnl,avg_pnl,median_pnl,total_volume,profitable_trades,win_rate,total_fees,net_pnl
2023-03-28,Greed,3.0,3,0.0,0.0,0.0,477.0,0,0.0,0.0,0.0
2023-11-14,Greed,3.0,1045,155.50335699999994,0.1488070401913875,0.0,11555429.76,287,27.464114832535884,2794.570654,-2639.067297
2024-03-09,Extreme Greed,4.0,6962,176965.491774,25.418772159436944,0.0,39406770.25,3412,49.008905486929045,6812.781233,170152.710541
2024-07-03,Neutral,2.0,7141,158742.378078,22.229712656210616,0.0,21843234.35,2265,31.71824674415348,8743.87748638,149998.50059162
2024-10-27,Greed,3.0,35241,3189461.032019,90.50427150248291,0.0,103947765.09,15915,45.16046650208564,21539.46273461,3167921.56928439
2025-02-19,Fear,1.0,133871,6699925.190574,50.047621894017375,0.0,704158492.98,55576,41.51459240612231,145018.0436178108,6554907.14695619
2025-06-15,Neutral,2.0,26961,71709.347634,2.6597436161121624,0.0,310275273.03,9414,34.917102481361965,60948.98483993,10760.362794069975
